City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
229,isangel,-19.55,169.2667,27.06,69,75,4.12,VU,1717826456
230,sitka,57.0531,-135.33,12.72,66,75,2.59,US,1717826456
231,holualoa,19.6228,-155.9522,26.04,88,37,2.73,US,1717826456
232,gilgit,35.9221,74.3087,19.42,43,100,1.5,PK,1717826456
233,constantia,44.1833,28.65,26.5,59,3,1.45,RO,1717826456
234,baardheere,2.3446,42.2764,27.67,66,66,8.54,SO,1717826456
235,zuni pueblo,35.0725,-108.8506,18.35,32,94,1.73,US,1717826457
236,santana,-0.0583,-51.1817,26.1,83,100,2.06,BR,1717826457
237,soio,-6.1349,12.3689,22.17,87,48,2.45,AO,1717826457
238,happy valley-goose bay,53.3168,-60.3315,12.17,82,20,4.12,CA,1717826457
239,buka,40.8108,69.1986,33.0,19,14,3.49,UZ,1717826457
240,smirnykh,49.75,142.8333,20.43,65,100,4.32,RU,1717826457
241,ar ruways,24.1103,52.7306,38.3,22,4,2.0,AE,1717826458
242,georgetown,5.4112,100.3354,32.97,63,20,4.12,MY,1717826458
243,babayurt,43.6002,46.7789,28.81,39,86,3.11,RU,1717826458
244,richards bay,-28.783,32.0377,18.65,52,98,5.74,ZA,1717826458
245,mineiros,-17.5694,-52.5511,16.36,64,2,1.55,BR,1717826458
246,newman,37.3138,-121.0208,22.86,57,64,2.63,US,1717826459
247,kangding,30.0513,101.9603,16.95,86,93,2.69,CN,1717826459
248,kourou,5.1552,-52.6478,24.03,93,99,1.59,GF,1717826459
249,wladyslawowo,54.7909,18.4009,15.52,74,80,3.71,PL,1717826459
250,aasiaat,68.7098,-52.8699,0.47,82,90,2.21,GL,1717826459
251,sisimiut,66.9395,-53.6735,3.61,83,80,2.17,GL,1717826459
252,ryotsu-minato,38.0833,138.4333,22.52,63,77,1.65,JP,1717826460
253,trimbak,19.9333,73.55,25.71,69,100,1.72,IN,1717826460
254,san antonio de pale,-1.4014,5.6325,24.8,76,92,4.19,GQ,1717826460
255,okha,53.5739,142.9478,4.58,90,100,0.89,RU,1717826460
256,kashary,49.04,41.0056,23.0,54,0,5.34,RU,1717826460
257,carbonear,47.7332,-53.2148,9.86,96,20,0.86,CA,1717826460
258,leer,53.2316,7.461,13.89,82,82,5.26,DE,1717826461
259,elliot lake,46.3834,-82.6331,10.39,91,100,2.38,CA,1717826260
260,boende,-0.2167,20.8667,25.17,79,95,0.62,CD,1717826461
261,heroica caborca,30.7167,-112.15,29.44,19,0,1.24,MX,1717826430
262,kununurra,-15.7667,128.7333,25.99,25,21,5.14,AU,1717826461
263,manzanillo,20.3433,-77.1167,26.14,84,98,1.64,CU,1717826461
264,mount pearl,47.5166,-52.7813,9.14,97,100,0.89,CA,1717826461
265,valenza,45.0141,8.6414,21.74,86,66,1.75,IT,1717826462
266,devakottai,9.95,78.8167,31.29,60,99,7.32,IN,1717826462
267,opuwo,-18.0607,13.84,11.03,36,5,5.06,NA,1717826461
268,preobrazheniye,42.9019,133.9064,18.15,71,94,1.91,RU,1717826462
269,turuntayevo,52.2,107.6167,24.05,33,54,3.28,RU,1717826462
270,guli,28.8833,120.0333,28.43,61,85,1.72,CN,1717826462
271,new norfolk,-42.7826,147.0587,11.72,73,64,1.11,AU,1717826462
272,akureyri,65.6835,-18.0878,1.96,93,100,11.83,IS,1717826463
273,sao joao da barra,-21.6403,-41.0511,21.69,87,0,1.74,BR,1717826463
274,belyy yar,53.6039,91.3903,21.94,73,0,2.0,RU,1717826463
275,sao jose,-28.2333,-49.1667,16.08,93,11,1.01,BR,1717826463
276,ambovombe,-25.1667,46.0833,22.45,74,0,3.82,MG,1717826463
277,toliara,-23.35,43.6667,24.7,69,0,2.0,MG,1717826464
278,whitehorse,60.7161,-135.0538,18.43,27,20,2.57,CA,1717826464
279,las rosas,-32.4766,-61.5804,18.81,94,100,4.05,AR,1717826178
280,changyon,38.2508,125.0961,23.95,59,88,4.2,KP,1717826464
281,nephi,39.7102,-111.8363,18.75,80,13,0.64,US,1717826464
